"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tb927.10.1490",2.5652520907498e-128,5.35677336340943,0.794,0.024,2.27973953304935e-124
"Tb927.10.10980",8.79123743741604e-116,-8.77329566338126,0.014,0.927,7.81277271063163e-112
"Tb927.2.3910",1.49958157454572e-103,5.50029861338752,0.656,0.014,1.33267814529878e-99
"Tb927.2.1210",2.73359449155647e-99,-4.63943654239325,0.181,0.885,2.42934542464624e-95
"Tb927.6.960",4.00422643264065e-98,-8.69033664849508,0.007,0.839,3.55855603068775e-94
"Tb927.8.5120",4.33003401243584e-95,4.08882990796409,0.702,0.054,3.84810122685173e-91
"Tb927.9.7470",6.29688160755482e-95,3.15189980356661,0.865,0.202,5.59603868463397e-91
"Tb927.1.2320",7.12544889677492e-94,-4.97428286004362,0.152,0.855,6.33238643456387e-90
"Tb927.10.70",3.35744384549351e-87,-7.65211699332657,0.014,0.783,2.98376034549009e-83
"Tb927.3.1840",5.45192423173327e-85,3.9636973881494,0.621,0.035,4.84512506474135e-81
"Tb927.6.1070",3.06814911512597e-84,-4.32762123648835,0.17,0.825,2.72666411861245e-80
"Tb927.1.4650",1.72597176282495e-81,-2.13922549123956,0.663,0.949,1.53387110562253e-77
"Tb927.9.3920",2.5612918837885e-78,-8.72024435871923,0.004,0.728,2.27622009712284e-74
"Tb927.11.15880",1.2824442085092e-76,-5.1869537403345,0.078,0.752,1.13970816810213e-72
"Tb927.6.5120",2.17965246791114e-74,-4.04605726946162,0.167,0.775,1.93705714823263e-70
"Tb927.10.3970",8.47360056088257e-71,-4.01202270638128,0.199,0.766,7.53048881845634e-67
"Tb927.9.11490",1.70248045385049e-70,-5.52520403683778,0.057,0.709,1.51299437933693e-66
"Tb927.4.2740",2.8928630603295e-69,-1.99116549279603,0.727,0.904,2.57088740171483e-65
"Tb927.5.350",2.71301668464375e-68,-8.09658782422067,0.004,0.666,2.4110579276429e-64
"Tb927.11.1280",1.72453865610059e-67,3.49624947665154,0.553,0.043,1.53259750367659e-63
"Tb927.7.2660",1.59146089014356e-66,1.88859262200007,0.947,0.422,1.41433129307058e-62
"Tb927.7.6570",2.96239098366973e-66,-4.07451898759152,0.117,0.725,2.63267686718729e-62
"Tb927.10.3990",4.86167992574331e-66,2.03401826065213,0.897,0.354,4.32057495000808e-62
"Tb927.11.6890",2.28470161784795e-65,-2.52659479558261,0.553,0.855,2.03041432778148e-61
"Tb927.7.5940",1.34398974189261e-64,2.99860752220774,0.596,0.068,1.19440368361996e-60
"Tb927.11.4900",4.32341118742513e-64,2.59152752876201,0.642,0.088,3.84221552226471e-60
"Tb927.7.230",4.68451029811241e-64,-5.10692184809062,0.057,0.674,4.1631243019325e-60
"Tb927.10.5370",5.85682465703037e-64,-7.61195115532934,0.007,0.639,5.20496007270289e-60
"Tb927.6.170",1.00387038596862e-63,-7.76409095206049,0.007,0.637,8.92139612010311e-60
"Tb927.11.11820",1.35765972513057e-62,-4.82711568207913,0.085,0.674,1.20655219772353e-58
"Tb927.1.2260",1.90991949937931e-62,2.11051239938278,0.812,0.221,1.69734545909839e-58
"Tb927.1.180",1.99801316219304e-62,-3.16747100098887,0.273,0.761,1.77563429724095e-58
"Tb927.11.16200",4.24352295020269e-61,3.72387053809082,0.482,0.03,3.77121884584513e-57
"Tb927.3.3310",6.27311221901961e-61,-4.3486277243761,0.106,0.68,5.57491482904273e-57
"Tb927.6.1470",1.18917295422724e-59,3.15889208713178,0.507,0.041,1.05681800442175e-55
"Tb927.11.1540",3.12143743338257e-59,4.96516518368772,0.408,0.01,2.77402144704709e-55
"Tb927.11.6180",8.90134199034839e-59,-3.86406972389848,0.163,0.693,7.91062262682261e-55
"Tb927.7.6600",8.87837430659648e-58,-4.09654957106391,0.117,0.669,7.89021124627229e-54
"Tb927.10.3370",1.04830747591974e-57,-4.54584704574337,0.085,0.65,9.31630853849871e-54
"Tb927.10.15410",2.00991865484497e-57,2.82883572723475,0.56,0.068,1.78621470856072e-53
"Tb927.7.6550",2.43999615737753e-56,-4.34637672389319,0.099,0.648,2.16842458506141e-52
"Tb927.9.1810",1.2477231510508e-55,-5.79234501091583,0.039,0.604,1.10885156433885e-51
"Tb927.7.6560",1.43997485143814e-55,-3.26485788010536,0.22,0.707,1.27970565047307e-51
"Tb927.3.4500",2.22294683881663e-55,2.87939162950173,0.479,0.038,1.97553285565634e-51
"Tb927.10.1080",5.38913134439335e-54,-3.89853267719731,0.16,0.662,4.78932102576237e-50
"Tb927.5.630",5.83933148047165e-54,-4.6745605724613,0.071,0.618,5.18941388669516e-50
"Tb927.10.14600",7.81873208210298e-54,-3.35070820693236,0.213,0.688,6.94850720136492e-50
"Tb927.6.690",6.63234679552004e-53,1.65596333719443,0.869,0.326,5.89416659717866e-49
"Tb927.2.470",1.05383569686667e-52,-2.40751809116819,0.447,0.769,9.36543783805405e-49
"Tb927.11.13250",1.53949924342427e-52,2.46958045701893,0.571,0.086,1.36815297763115e-48
"Tb927.7.6580",2.51474595291073e-52,-3.49583132945244,0.206,0.677,2.23485472835177e-48
"Tb927.1.400",5.81934661938108e-52,-2.81931570395903,0.362,0.734,5.17165334064396e-48
"Tb927.10.7090",7.40192461729902e-52,-1.54750956921138,0.745,0.903,6.57809040739364e-48
"Tb927.9.11380",2.31099083672351e-51,-3.93491910404847,0.113,0.632,2.05377755659618e-47
"Tb927.9.12500",2.83091496474806e-51,2.73401811892368,0.479,0.048,2.5158341291716e-47
"Tb927.11.14750",3.10396176374473e-51,2.79377917427825,0.486,0.051,2.75849081943994e-47
"Tb927.7.4170",3.38832538209531e-51,2.03044740888236,0.656,0.132,3.0112047670681e-47
"Tb927.9.9370",3.99756096621798e-51,2.30588180941702,0.567,0.089,3.55263243067792e-47
"Tb927.5.2000",7.08807735030775e-51,-1.90417750912347,0.567,0.82,6.2991743412185e-47
"Tb927.10.3930",1.19437215794744e-50,-2.64543204236654,0.351,0.734,1.06143853676789e-46
"Tb927.1.2160",1.34360056579798e-50,2.1153516323693,0.688,0.161,1.19405782282467e-46
"Tb927.11.12100",8.64058989485346e-50,2.2842508091999,0.606,0.113,7.67889223955627e-46
"Tb927.10.5620",1.81053690303291e-49,-6.62827649219103,0.018,0.543,1.60902414572535e-45
"Tb927.1.1420",2.21790595350294e-49,1.97712646583509,0.613,0.113,1.97105302087806e-45
"Tb927.7.6490",2.55984596072109e-49,-5.77186140061279,0.025,0.548,2.27493510529283e-45
"Tb927.7.7530",4.71227503484236e-49,-6.89294139630856,0.014,0.537,4.18779882346441e-45
"Tb927.6.5020",8.17952283986396e-49,-4.09750416105618,0.092,0.6,7.2691419477871e-45
"Tb927.11.10330",1.84448296100217e-48,2.17975344935547,0.649,0.143,1.63919200744263e-44
"Tb927.11.2690",3.80633307828215e-48,1.85366026043323,0.741,0.194,3.38268820666934e-44
"Tb927.5.2020",4.59564657001351e-48,-4.34974160874915,0.099,0.592,4.08415110677101e-44
"Tb927.4.2410",5.56416922411695e-48,2.46094044255035,0.475,0.054,4.94487718947274e-44
"Tb927.9.10770",9.2185783670048e-48,1.3105989320848,0.961,0.707,8.19255059475716e-44
"Tb927.10.5250",1.07888136791249e-47,-5.44122048008601,0.043,0.551,9.58801871663832e-44
"Tb927.4.3950",1.41379677900073e-47,2.11618804005767,0.596,0.111,1.25644119749795e-43
"Tb927.9.15170",2.33939715294112e-47,-2.92768975384214,0.248,0.674,2.07902224981878e-43
"Tb927.5.3620",3.83716397063807e-47,1.68445070179768,0.798,0.269,3.41008762070605e-43
"Tb927.2.450",9.51910901413377e-47,-2.59971616171813,0.362,0.71,8.45963218086068e-43
"Tb927.2.400",1.0743997040451e-46,-5.44372090278805,0.035,0.538,9.54819016984882e-43
"Tb927.2.1080",1.36352323966824e-46,-8.13341091985896,0.004,0.508,1.21176310309316e-42
"Tb927.10.3200",1.42807979094571e-46,2.19696066735582,0.528,0.078,1.26913451021345e-42
"Tb927.4.1910",1.42889667973919e-46,2.23124917138319,0.564,0.099,1.26986047928422e-42
"Tb927.11.6280",2.77742247802067e-46,2.88027029187657,0.408,0.033,2.46829535621697e-42
"Tb927.8.5440",3.03070629282936e-46,-5.22368556590434,0.057,0.549,2.69338868243746e-42
"Tb927.1.2230",4.5089632493484e-46,2.15298678207914,0.553,0.094,4.00711563969592e-42
"Tb927.11.2410",7.90062240337257e-46,3.7987629761127,0.355,0.018,7.02128312987721e-42
"Tb927.7.4160",1.02961599559732e-45,3.09312328391966,0.394,0.03,9.15019735287339e-42
"Tb927.8.8290",1.95272238377411e-45,2.05302947504873,0.645,0.156,1.73538438246005e-41
"Tb927.4.3550",1.96591740832963e-45,-3.16259418293828,0.227,0.643,1.74711080078254e-41
"Tb927.7.3970",2.47424811230679e-45,1.60682034341525,0.848,0.338,2.19886429740705e-41
"Tb927.8.6110",3.12838012668975e-45,3.64969759590943,0.348,0.016,2.78019141858918e-41
"Tb927.11.15910",1.59856641479501e-44,3.23888605832365,0.376,0.027,1.42064597282832e-40
"Tb927.10.12840",2.32730347263043e-44,2.2837620840746,0.504,0.076,2.06827459612666e-40
"Tb927.7.6080",5.33360584774954e-44,-3.88562157818522,0.124,0.583,4.73997551689502e-40
"Tb927.10.10260",8.87629522799494e-44,2.00223387439469,0.791,0.376,7.8883635691191e-40
"Tb927.2.370",2.17973364012816e-43,-1.76091616721644,0.613,0.799,1.9371292859819e-39
"Tb927.3.1380",3.42101220138412e-43,2.68330065960122,0.418,0.045,3.04025354337007e-39
"Tb927.2.3270",5.94617134288752e-43,-5.95747766330414,0.021,0.495,5.28436247242414e-39
"Tb927.7.6710",4.52743756294392e-42,3.06395813723687,0.351,0.022,4.02353376218827e-38
"Tb927.10.9190",4.90363329446484e-42,4.90726518566775,0.294,0.006,4.3578589087909e-38
"Tb927.8.7820",5.99044244663509e-42,-1.77200805346575,0.443,0.793,5.32370620232461e-38
"Tb927.11.5090",6.91379721103531e-42,3.16325148099158,0.362,0.027,6.14429158144708e-38
"Tb927.9.14160",8.48650311551105e-42,2.43430246465572,0.422,0.048,7.54195531875467e-38
"Tb927.10.12760",8.52954894228563e-42,1.89423116958746,0.652,0.174,7.58021014500924e-38
"Tb927.11.2400",9.85385967574373e-42,-3.79892590725792,0.11,0.559,8.75712509383345e-38
"Tb927.10.8530",1.12466694723009e-41,2.61641756158414,0.436,0.057,9.99491516003385e-38
"Tb927.11.9920",1.26021072661467e-41,-3.92720016175912,0.103,0.551,1.11994927274246e-37
"Tb927.2.100",7.92036878733006e-41,1.98317519085373,0.535,0.1,7.03883174130022e-37
"Tb927.9.5900",1.10900631119861e-40,2.44512362082741,0.461,0.072,9.85573908762201e-37
"Tb927.7.2680",1.24290132386627e-40,3.72372874551988,0.298,0.01,1.10456640651995e-36
"Tb927.7.1040",2.10987534362193e-40,-2.75770386931918,0.27,0.642,1.87504621787681e-36
"Tb927.5.1830",5.98216395890814e-40,-4.26136587143999,0.074,0.521,5.31634911028167e-36
"Tb927.5.820",8.67850108375391e-40,-4.03016867088763,0.092,0.53,7.7125839131321e-36
"Tb927.3.3750",1.38610274527187e-39,1.75069478653307,0.667,0.182,1.23182950972311e-35
"Tb927.7.6780",1.57370068824189e-39,2.369418392782,0.404,0.046,1.39854780164057e-35
"Tb927.11.1020",2.52501841833362e-39,2.02000854977243,0.461,0.07,2.24398386837309e-35
"Tb927.11.780",3.01688117834676e-39,2.8831751769898,0.351,0.029,2.68110230319677e-35
"Tb927.9.12830",1.50352860680755e-38,3.13113845070943,0.326,0.022,1.33618587286987e-34
"Tb927.11.11330",2.24579018887317e-38,-3.71461585673055,0.149,0.554,1.99583374085159e-34
"Tb927.2.380",3.02808504004319e-38,-3.72378719968157,0.138,0.549,2.69105917508638e-34
"Tb927.8.6650",4.62919422079404e-38,1.76236615463992,0.617,0.159,4.11396490401966e-34
"Tb927.3.1920",5.15685719577937e-38,1.59776523014946,0.606,0.143,4.58289898988912e-34
"Tb927.10.2890",2.60760539759076e-37,-5.08340157585061,0.043,0.468,2.3173789168389e-33
"Tb927.11.2060",2.61556627050446e-37,-1.90860612757308,0.5,0.728,2.32445374459731e-33
"Tb927.6.4420",6.17744402272669e-37,1.8951255632146,0.493,0.092,5.48989450299721e-33
"Tb927.9.12200",6.37106203439213e-37,-2.73270185009306,0.273,0.623,5.66196282996429e-33
"Tb927.11.5940",7.42853545642248e-37,3.27768347854683,0.291,0.014,6.60173946012266e-33
"Tb927.10.12740",9.11869595176548e-37,1.86883269435906,0.553,0.127,8.10378509233398e-33
"Tb927.7.2240",1.41891369999615e-36,2.87783348366025,0.337,0.03,1.26098860518658e-32
"Tb927.7.2340",1.68857747344399e-36,-2.43928193488824,0.358,0.661,1.50063880064967e-32
"Tb927.5.2770",2.52480371430246e-36,3.55871056897873,0.287,0.014,2.24379306090059e-32
"Tb927.9.2980",2.81616533062987e-36,1.81954837757965,0.496,0.097,2.50272612933076e-32
"Tb927.6.4470",3.24227260446572e-36,2.30402745264723,0.387,0.049,2.88140766358868e-32
"Tb927.9.5730",6.74441317581488e-36,1.57748067526163,0.596,0.148,5.99375998934668e-32
"Tb927.9.12960",7.23755265685553e-36,2.5865606810275,0.305,0.021,6.43201304614751e-32
"Tb927.10.2240",9.70451171820326e-36,1.90728008223175,0.447,0.075,8.62439956396724e-32
"Tb927.9.15210",1.13710655370773e-35,-3.20087670502427,0.163,0.556,1.01054659428006e-31
"Tb927.7.7090",1.40904931722311e-35,1.8167295450093,0.613,0.178,1.25222212821618e-31
"Tb927.10.11630",1.58296756426942e-35,1.83130900666759,0.507,0.105,1.40678327436624e-31
"Tb927.11.6500",1.59909613475962e-35,-2.09892140869218,0.344,0.672,1.42111673496087e-31
"Tb927.9.8100",1.73567447828079e-35,-4.40687430497443,0.067,0.478,1.54249390884814e-31
"Tb927.5.1570",1.7798988648096e-35,2.47909472027419,0.379,0.049,1.58179612115629e-31
"Tb927.5.3610",2.80895457943804e-35,2.94373874294881,0.301,0.021,2.49631793474659e-31
"Tb927.11.3590",6.44646321961713e-35,-1.74190161977225,0.528,0.731,5.72897186327374e-31
"Tb927.10.2250",1.02994201272886e-34,2.51045318079674,0.358,0.043,9.1530946671214e-31
"Tb927.7.4900",1.70311400417432e-34,-4.71482559176777,0.053,0.455,1.51355741550972e-30
"Tb927.8.7770",1.88521008923932e-34,3.06757316215758,0.316,0.029,1.67538620630699e-30
"Tb927.10.280",2.20649952798192e-34,2.34108681397895,0.355,0.041,1.96091613051753e-30
"Tb927.9.6090",3.07570982448495e-34,-5.61582216855061,0.025,0.425,2.73338332101977e-30
"Tb927.10.10000",3.0838546483028e-34,2.40448395050945,0.376,0.051,2.7406216259467e-30
"Tb927.10.1060",3.42966247832365e-34,1.60441478733239,0.532,0.119,3.04794104448623e-30
"Tb927.7.5170",3.64662723856285e-34,-3.17867167619197,0.177,0.548,3.24075762691081e-30
"Tb927.9.7950",4.00664744773587e-34,2.92722178929579,0.298,0.022,3.56070758680287e-30
"Tb927.10.4110",6.59462953677828e-34,-3.65134793738608,0.131,0.514,5.86064726933485e-30
"Tb927.4.1540",9.65581235449518e-34,1.63908844314048,0.525,0.119,8.58112043943987e-30
"Tb927.9.2160",1.01066318837203e-33,1.56146798524093,0.578,0.148,8.98176375506223e-30
"Tb927.7.7520",1.16284009028115e-33,-3.0697532255624,0.206,0.562,1.03341598823286e-29
"Tb927.11.16800",2.75366951034293e-33,2.90623078299969,0.301,0.025,2.44718609384176e-29
"Tb927.8.6170",3.13790363777762e-33,3.29854075940919,0.277,0.018,2.78865496289297e-29
"Tb927.2.1380",5.05788185883257e-33,-6.00716151239954,0.018,0.406,4.49493960794451e-29
"Tb927.8.890",5.81588296495026e-33,-1.38184862223242,0.67,0.818,5.1685751909513e-29
"Tb927.8.1330",6.5457376624952e-33,-2.16601161162756,0.436,0.666,5.81719706065948e-29
"Tb927.2.280",6.98920821011902e-33,-4.37202493070859,0.053,0.444,6.21130933633278e-29
"Tb927.11.11460",9.48645322886168e-33,1.81578882912803,0.415,0.068,8.43061098448937e-29
"Tb927.8.6010",9.99621195594963e-33,3.23803745686267,0.277,0.019,8.88363356525243e-29
"Tb927.2.340",1.17072628734051e-32,-2.10373612932829,0.401,0.656,1.04042445155952e-28
"Tb927.11.950",1.20124772573937e-32,3.4535851441606,0.262,0.014,1.06754885386458e-28
"Tb927.10.2370",1.54809466402169e-32,2.54066745855482,0.33,0.038,1.37579172791607e-28
"Tb927.6.1870",2.07086066049662e-32,2.15979177244359,0.362,0.049,1.84037386898335e-28
