"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tb927.8.2580",2.95868119845537e-15,-1.10160247303344,0.072,0.281,2.64742793637786e-11
"Tb927.4.4930",3.10088366784002e-15,-1.126045058713,0.08,0.293,2.77467070598325e-11
"Tb927.10.2260",3.10718757310904e-15,-1.22127176650459,0.069,0.275,2.78031144041797e-11
"Tb927.7.3400",3.14733875031504e-15,-1.77175778868185,0.04,0.224,2.8162387137819e-11
"Tb927.9.15000",3.18116970778342e-15,-1.82755759370378,0.037,0.222,2.8465106545246e-11
"Tb927.8.3700",3.20442210879912e-15,-1.86238572583985,0.037,0.223,2.86731690295345e-11
"Tb927.5.3160",3.25178850928638e-15,-1.00092211592744,0.106,0.335,2.90970035810946e-11
"Tb927.11.16490",3.28639295614568e-15,-1.49779564034562,0.072,0.278,2.94066441715916e-11
"Tb927.10.12370",3.28733345403946e-15,-1.06382306323939,0.083,0.301,2.94150597467451e-11
"Tb927.10.3580",3.28831676931403e-15,-1.18652411915372,0.08,0.293,2.94238584518219e-11
"Tb927.6.2060",3.3078310982127e-15,-1.27815508009333,0.069,0.272,2.95984726668073e-11
"Tb927.6.4200",3.35629729286068e-15,-1.18209384348824,0.066,0.27,3.00321481765173e-11
"Tb927.9.4850",3.40823187522409e-15,-3.57204238657274,0.006,0.165,3.04968588195052e-11
"Tb927.10.6840",3.49262879940015e-15,-0.772513523799859,0.172,0.422,3.12520424970326e-11
"Tb927.7.2380",3.58068363846273e-15,-1.45041827427309,0.054,0.248,3.20399571969646e-11
"Tb927.5.1920",3.6183173223891e-15,-1.62550582360695,0.037,0.222,3.23767034007377e-11
"Tb927.11.7170",3.68259359148639e-15,-0.682908333748432,0.138,0.385,3.29518474566202e-11
"Tb927.11.11880",3.83944584449063e-15,-0.846824066920711,0.14,0.385,3.43553614165022e-11
"Tb927.10.15230",3.88264248496613e-15,-0.969905403954677,0.1,0.325,3.47418849554769e-11
"Tb927.8.610",3.93513354677516e-15,-1.00394636956554,0.132,0.358,3.52115749765442e-11
"Tb927.1.4500",3.96125696845713e-15,-1.04065957974738,0.103,0.322,3.54453273537544e-11
"Tb927.3.4020",4.0235644117133e-15,-1.40295760156846,0.074,0.282,3.60028543560106e-11
"Tb927.4.3310",4.25042073775357e-15,-1.30137601962453,0.077,0.285,3.80327647614189e-11
"Tb927.8.1710",4.25142683586349e-15,-1.2915645493694,0.054,0.251,3.80417673273065e-11
"Tb927.8.1260",4.27268006179332e-15,-1.82790584079514,0.037,0.218,3.82319411929266e-11
"Tb927.11.10150",4.29376918126709e-15,-0.715998607533267,0.192,0.459,3.8420646633978e-11
"Tb927.3.910",4.39138710692933e-15,-2.38186867212843,0.034,0.211,3.92941318328037e-11
"Tb927.11.10400",4.41852781979227e-15,-1.7084085576599,0.032,0.213,3.95369869315013e-11
"Tb927.7.6450",4.44601695785714e-15,-1.01195543185396,0.112,0.337,3.97829597389057e-11
"Tb927.5.3150",4.5002001584301e-15,-0.867675778108834,0.08,0.295,4.02677910176325e-11
"Tb927.6.2580",4.54090832435909e-15,-1.76881528132209,0.04,0.225,4.06320476863651e-11
"Tb927.11.14440",4.55020846475191e-15,-1.7751969779553,0.049,0.237,4.07152653426001e-11
"Tb927.3.2050",4.64652966278146e-15,-0.827674032925148,0.129,0.369,4.15771474225685e-11
"Tb927.10.9860",4.69823910069061e-15,-1.89121881604165,0.037,0.216,4.20398434729796e-11
"Tb927.3.5320",4.99193555843605e-15,-1.8624079369265,0.032,0.209,4.46678393768858e-11
"Tb927.11.7680",5.15690424205091e-15,-2.10006819467535,0.026,0.199,4.61439791578716e-11
"Tb927.8.3830",5.31544052815025e-15,-1.70226184321959,0.026,0.203,4.75625618458884e-11
"Tb927.3.4140",5.48901186181904e-15,-0.864486714793977,0.12,0.35,4.91156781395567e-11
"Tb927.11.13080",5.51592733423288e-15,-1.21819635783606,0.057,0.254,4.93565177867158e-11
"Tb927.4.4990",5.54524354834248e-15,-0.579728645915436,0.166,0.431,4.96188392705685e-11
"Tb927.11.9560",5.7160982106215e-15,-1.46407524165328,0.06,0.254,5.11476467886412e-11
"Tb927.11.12970",5.76277144813759e-15,-1.59431082330165,0.052,0.244,5.15652789179352e-11
"Tb927.11.13000",5.78385087415312e-15,-0.907516259706732,0.103,0.332,5.17538976219221e-11
"Tb927.11.14450",5.79310458368958e-15,-2.08456532582331,0.029,0.202,5.18366998148543e-11
"Tb927.1.1540",5.82605779428986e-15,-1.1480034340845,0.069,0.274,5.21315651433056e-11
"Tb927.11.5500",5.93284402058599e-15,-0.901405707979532,0.115,0.34,5.30870882962034e-11
"Tb927.10.2810",5.94969956607268e-15,-0.524599507585628,0.269,0.574,5.32379117172184e-11
"Tb927.3.1080",5.95831209802133e-15,-0.893865840819653,0.112,0.348,5.33149766530949e-11
"Tb927.4.590",5.97520776561968e-15,-0.725590264458257,0.192,0.46,5.34661590867649e-11
"Tb927.7.820",6.35436619984383e-15,-1.28460511873107,0.077,0.287,5.68588687562026e-11
"Tb927.8.1420",6.69414323631406e-15,-1.2736776779031,0.057,0.255,5.98991936785382e-11
"Tb927.7.1560",6.71681978563723e-15,-1.85638166777884,0.032,0.21,6.01021034418819e-11
"Tb927.11.10090",6.83733703847099e-15,-1.35078003086344,0.072,0.277,6.11804918202384e-11
"Tb927.10.770",6.91356756028109e-15,-1.10391649281335,0.097,0.317,6.18626025293952e-11
"Tb927.11.5300",6.92712154932029e-15,-0.716247986069596,0.16,0.41,6.1983883623318e-11
"Tb927.9.8670",6.93929638068079e-15,-0.905574364076667,0.123,0.359,6.20928240143317e-11
"Tb927.7.700",6.96785507275133e-15,-0.554733309994805,0.175,0.436,6.23483671909789e-11
"Tb927.8.1440",7.40869917715248e-15,-1.07168433356834,0.1,0.316,6.62930402371604e-11
"Tb927.7.2750",7.58841153092332e-15,-0.922796351228659,0.14,0.382,6.79011063787019e-11
"Tb927.11.400",7.655894615455e-15,-1.36969266769771,0.066,0.267,6.85049450190913e-11
"Tb927.11.7840",7.72021522357631e-15,-0.595806282588799,0.209,0.482,6.90804858205609e-11
"Tb927.3.1060",7.79126215669189e-15,-0.907200487320238,0.103,0.326,6.9716213778079e-11
"Tb927.10.4990",8.04894331997452e-15,-1.57299752853617,0.043,0.228,7.2021944827132e-11
"Tb927.11.16880",8.09273395876787e-15,-1.49863750193288,0.052,0.244,7.24137834630549e-11
"Tb927.9.13330",8.10299936660782e-15,-1.84354548395571,0.032,0.208,7.25056383324067e-11
"Tb927.5.3090",8.26853723164717e-15,-0.609604003176305,0.146,0.406,7.39868711487789e-11
"Tb927.6.2710",8.88757591903765e-15,-0.792166950830899,0.135,0.366,7.95260293235489e-11
"Tb927.11.3880",8.98500196841653e-15,-1.15334197463433,0.092,0.302,8.03977976133911e-11
"Tb927.5.910",9.03794833748576e-15,-1.01767781094261,0.129,0.36,8.08715617238226e-11
"Tb927.11.4400",9.24168521219257e-15,-1.53709447573751,0.052,0.243,8.26945992786991e-11
"Tb927.10.8330",9.43775322512884e-15,-1.8471506059426,0.052,0.237,8.44490158584528e-11
"Tb927.11.1700",9.45941469985655e-15,-1.1426700977925,0.066,0.262,8.46428427343164e-11
"Tb927.6.2920",9.47510840737648e-15,-1.6553937789782,0.034,0.215,8.47832700292047e-11
"Tb927.10.14160",9.62910635287361e-15,-1.88041991883565,0.032,0.209,8.6161243645513e-11
"Tb927.8.3580",9.63775007370915e-15,-1.11106902763654,0.06,0.259,8.62385876595494e-11
"Tb927.2.5280",9.95529076065103e-15,-0.591171527094363,0.209,0.48,8.90799417263054e-11
"Tb927.11.15760",9.9701252916562e-15,-1.38920282532388,0.069,0.265,8.92126811097396e-11
"Tb927.11.2570",9.97056706773063e-15,-1.02240544854699,0.1,0.321,8.92166341220537e-11
"Tb927.11.230",1.00722522655759e-14,-0.874530590578811,0.109,0.333,9.01265132723728e-11
"Tb927.4.3460",1.02299848164139e-14,-0.985241987256045,0.1,0.321,9.15379041372717e-11
"Tb927.5.1200",1.04404813965282e-14,-1.14570883858155,0.095,0.303,9.34214275361345e-11
"Tb927.7.2250",1.04706506827114e-14,-1.53944939025726,0.046,0.231,9.36913823089013e-11
"Tb927.7.6280",1.06140693070388e-14,-1.43915233389933,0.043,0.229,9.49746921593829e-11
"Tb927.9.13520",1.07140702373216e-14,-0.681717855172027,0.175,0.443,9.58695004835533e-11
"Tb927.9.9310",1.11181529751235e-14,-1.27653950771376,0.066,0.266,9.94852328214051e-11
"Tb927.10.15430",1.17859590924631e-14,-1.39337419861297,0.057,0.253,1.0546076195936e-10
"Tb927.3.3630",1.22654613964293e-14,-0.950220203834103,0.123,0.352,1.0975134857525e-10
"Tb927.11.5000",1.23813669424351e-14,-0.544320619741346,0.261,0.55,1.10788471400909e-10
"Tb927.10.7610",1.24812842652193e-14,-0.808718932102033,0.123,0.358,1.11682531605183e-10
"Tb927.11.10430",1.28644521979489e-14,-0.891894394635749,0.103,0.321,1.15111118267247e-10
"Tb927.10.3090",1.287043827265e-14,-2.18396557456215,0.029,0.198,1.15164681663672e-10
"Tb927.4.600",1.30537499317254e-14,-1.20621451695797,0.063,0.26,1.16804954389079e-10
"Tb927.11.11700",1.30769110116557e-14,-0.950339384531585,0.109,0.332,1.17012199732295e-10
"Tb927.11.14570",1.32536627236792e-14,-1.35852603127503,0.057,0.248,1.18593774051481e-10
"Tb927.10.1590",1.3861418441977e-14,1.11068667926996,0.613,0.612,1.2403197221881e-10
"Tb927.9.11960",1.4265148902418e-14,-1.55433738177095,0.049,0.236,1.27644552378836e-10
"Tb927.2.5810",1.43780844395959e-14,-0.694637700497638,0.14,0.386,1.28655099565504e-10
"Tb927.8.6670",1.47601012106821e-14,-1.5368228427628,0.052,0.236,1.32073385633183e-10
"Tb927.9.9420",1.50353636459561e-14,-1.26433423955913,0.072,0.275,1.34536433904015e-10
"Tb927.6.3420",1.51219684142397e-14,-1.7566795231953,0.052,0.234,1.35311373370617e-10
"Tb927.9.14370",1.56663286442465e-14,1.00978164796704,0.688,0.727,1.40182308708717e-10
"Tb927.11.10480",1.56998853195476e-14,-0.750141305280389,0.14,0.378,1.40482573839312e-10
"Tb05.5K5.70",1.57465992374342e-14,-1.6508251811474,0.037,0.217,1.40900569976561e-10
"Tb927.8.6200",1.6049861976439e-14,-0.799262593358442,0.138,0.37,1.43614164965176e-10
"Tb927.9.7180",1.6478289402071e-14,-0.927746959645815,0.097,0.32,1.47447733569731e-10
