"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tb927.6.510",2.13096038721375e-169,-4.38870834234138,0.39,1,1.90678335447886e-165
"Tb927.6.4280",5.08614572588446e-168,-3.29219900326879,0.457,1,4.55108319552142e-164
"Tb927.10.12760",4.91628446466409e-162,4.6160156496592,0.652,0.111,4.39909133898143e-158
"Tb927.1.2390",1.28993849802614e-156,-1.93415604717854,0.805,1,1.15423696803379e-152
"Tb927.11.4700",8.04946825502279e-155,-3.76333294505704,0.184,0.99,7.20266419459439e-151
"Tb927.8.3530",3.02092672114532e-139,-2.90768079359939,0.259,0.99,2.70312523008083e-135
"Tb11.v5.1011",5.76298114408627e-137,-2.45637785559056,0.372,0.996,5.1567155277284e-133
"Tb927.11.880",3.81844346158842e-128,-1.98171156134167,0.589,0.998,3.41674320942932e-124
"Tb927.10.4570",1.39787127480096e-125,-1.87966267733851,0.571,0.998,1.2508152166919e-121
"Tb927.9.12570",2.49572746183955e-125,-2.08175534633447,0.507,0.996,2.23317693285403e-121
"Tb927.9.11600",2.95112650658804e-123,-1.95945987712745,0.543,0.999,2.64066799809498e-119
"Tb927.3.2230",1.53237328705642e-117,-2.59496814421144,0.266,0.966,1.37116761725808e-113
"Tb927.2.4210",3.16408069130733e-115,-2.27850676807665,0.319,0.98,2.8312194025818e-111
"RPS12",1.31232150570334e-113,4.56343100303046,0.397,0.046,1.17426528330335e-109
"Tb927.6.4140",1.0093587533498e-108,-1.47080959463038,0.699,0.999,9.03174212497404e-105
"Tb927.9.4680",1.38276747208877e-108,-1.53737490270005,0.681,0.999,1.23730033402503e-104
"Tb927.11.16550",3.73808342102518e-107,2.66264085396102,0.901,0.683,3.34483704513333e-103
"Tb927.4.4380",4.08357263987818e-104,-1.78803004995414,0.475,0.988,3.653980798163e-100
"Tb927.9.5900",2.62004365188418e-102,-1.80019534475429,0.461,0.984,2.34441505970597e-98
"Tb927.8.6750",1.85119753256986e-101,-2.21774243835714,0.301,0.954,1.65645155214351e-97
"Tb927.10.10000",2.41651391094251e-100,-1.96822027457676,0.376,0.969,2.16229664751136e-96
"Tb11.v5.1061",7.03790009704078e-100,4.890659599421,0.337,0.036,6.29751300683209e-96
"Tb927.11.5520",1.87410479769342e-99,-2.67191655496706,0.17,0.895,1.67694897297608e-95
"Tb927.10.3210",5.9522678181881e-99,-2.02289858792402,0.344,0.963,5.32608924371471e-95
"Tb927.3.2960",9.84789283389261e-97,-1.98364019953881,0.383,0.969,8.81189450776711e-93
"Tb927.11.9590",3.5615115262049e-93,-1.94149414293366,0.372,0.962,3.18684051364814e-89
"Tb927.11.10340",6.48180854358087e-92,-2.87499035893598,0.149,0.843,5.79992228479616e-88
"Tb927.11.5280",6.93785940682016e-92,-2.49730683282436,0.184,0.889,6.20799659722268e-88
"Tb927.6.690",4.51660514431632e-91,2.25543720854373,0.869,0.678,4.04145828313424e-87
"Tb927.9.5770",2.72128679122582e-90,-2.16784537721684,0.255,0.935,2.43500742078887e-86
"ND4",8.38743960189732e-90,-2.18624333390551,0.241,0.919,7.50508095577773e-86
"Tb927.7.2660",2.31678134776407e-89,1.73066333635276,0.947,0.895,2.07305594997929e-85
"Tb927.9.5860",2.57567395539573e-89,-2.59740913174449,0.128,0.844,2.3047130552881e-85
"Tb927.3.3270",1.43788380779811e-88,-1.77593669863453,0.401,0.971,1.28661843121775e-84
"Tb11.v5.0381",5.63181724394176e-87,-2.94001636964296,0.096,0.805,5.03935006987909e-83
"Tb927.4.1300",6.21852115586115e-86,-1.48932579757367,0.55,0.988,5.56433273026455e-82
"Tb11.v5.1034",2.25211285594613e-84,-2.7092703819947,0.124,0.817,2.0151905835006e-80
"Tb927.11.6280",4.65112421909006e-84,-1.71436028177449,0.408,0.96,4.16182595124178e-80
"Tb927.5.287b",8.55232222283702e-84,4.35581244632458,0.287,0.031,7.65261792499456e-80
"Tb927.4.2040",5.41793788023925e-79,-1.78962008037578,0.33,0.935,4.84797081523808e-75
"Tb927.6.3750",8.20055583762212e-78,-2.22028769543043,0.191,0.855,7.33785736350427e-74
"Tb927.6.3490",1.89037989494222e-76,1.16650241061732,0.986,0.993,1.6915119299943e-72
