,group,names,scores,logfoldchanges,pvals,pvals_adj
130,trypomast_0,C4B63_63g282c,11.278922,0.96350527,1.667777232431481e-29,2.5552014978082724e-25
131,trypomast_0,C4B63_42g173,11.241191,1.0112165,2.5590729586878443e-29,3.9207556800056465e-25
132,trypomast_0,C4B63_32g214,11.148355,1.2575642,7.294251173421819e-29,1.117552222279957e-24
133,trypomast_0,C4B63_6g537,11.07811,0.83754826,1.6022022711964537e-28,2.454734099700087e-24
134,trypomast_0,C4B63_45g75,11.057164,1.0354964,2.023960384660858e-28,3.1009097053389004e-24
135,trypomast_0,C4B63_79g23,10.99361,1.000292,4.101827319462487e-28,6.2844096361484765e-24
136,trypomast_0,C4B63_2g708,10.992059,1.1691958,4.172952706941808e-28,6.393380842305545e-24
137,trypomast_0,C4B63_75g59,10.966568,0.97695124,5.533270625589441e-28,8.477523925465583e-24
138,trypomast_0,C4B63_13g34,10.911842,1.285492,1.0118452377501092e-27,1.5502480887569422e-23
139,trypomast_0,C4B63_42g103,10.822124,1.5458316,2.7043771980682065e-27,4.143376305160299e-23
140,trypomast_0,C4B63_12g217,10.822048,1.1146865,2.70661394866082e-27,4.146803230743242e-23
141,trypomast_0,C4B63_20g321,10.799097,0.9525148,3.476062505355477e-27,5.325675364455126e-23
142,trypomast_0,C4B63_109g60,10.742207,0.8615935,6.448470269768983e-27,9.879701300313058e-23
143,trypomast_0,C4B63_38g86,10.671366,1.0839196,1.3857491139136307e-26,2.123106217427074e-22
144,trypomast_0,C4B63_12g385,10.668025,1.2917776,1.436473919836334e-26,2.200821692581247e-22
145,trypomast_0,C4B63_2g558,10.664179,0.7721392,1.4971504595190256e-26,2.2937842190290993e-22
146,trypomast_0,C4B63_4g64,10.655756,0.8194763,1.6390802422502172e-26,2.5112348391515577e-22
147,trypomast_0,C4B63_6g104,10.61257,0.744213,2.6048365423920336e-26,3.9908700665988345e-22
148,trypomast_0,C4B63_19g11,10.51591,0.54434526,7.297267134343114e-26,1.1180142976527086e-21
149,trypomast_0,C4B63_46g77,10.423759,1.0147362,1.9316260279899013e-25,2.959444237483328e-21
150,trypomast_0,C4B63_2g229,10.417862,0.7527648,2.055220502280407e-25,3.1488033315438115e-21
151,trypomast_0,C4B63_16g155,10.359679,0.8141103,3.782268854751889e-25,5.794814112365369e-21
152,trypomast_0,C4B63_40g124c,10.355239,0.9692845,3.961968986058509e-25,6.070132683540242e-21
153,trypomast_0,C4B63_25g294,10.265,0.8914245,1.013206354996291e-24,1.5523334564898173e-20
154,trypomast_0,C4B63_34g297,10.243304,1.0480747,1.2682871301289841e-24,1.9431427120706166e-20
155,trypomast_0,C4B63_20g170,10.237616,0.8783431,1.345103850107618e-24,2.0608336087498818e-20
156,trypomast_0,C4B63_163g31,10.217918,1.3772609,1.6484222551083182e-24,2.5255477370514544e-20
157,trypomast_0,C4B63_12g330,10.194672,0.73135924,2.0945078660327168e-24,3.2089955015487254e-20
158,trypomast_0,C4B63_2g783,10.167276,1.4149159,2.7756155852212868e-24,4.2525206381175337e-20
159,trypomast_0,C4B63_57g127,10.04308,1.0239893,9.854771022154214e-24,1.5098494683042472e-19
160,trypomast_0,C4B63_19g166,9.953643,1.2849967,2.4311738271394787e-23,3.724801420560395e-19
161,trypomast_0,C4B63_44g146,9.913297,0.7019521,3.6442034088570805e-23,5.5832840427099335e-19
162,trypomast_0,C4B63_2g760,9.913066,0.88385826,3.6526371093410277e-23,5.596205315221388e-19
163,trypomast_0,C4B63_39g336,9.894855,0.97193706,4.382462995604073e-23,6.714371555564999e-19
164,trypomast_0,C4B63_48g18,9.81479,0.7394937,9.724073331722561e-23,1.4898252751532136e-18
165,trypomast_0,C4B63_12g240,9.699963,1.0913298,3.016102195232706e-22,4.620970173316029e-18
